slope,variance,confinement,zc,n_windows,project,lag_type
0.0013713197532294536,0.17136850970969383,0.5612244897959183,47,391,CPYTHON,4
-0.0003385541914989206,0.1315328436820818,0.5816326530612245,35,391,CPYTHON,6
0.00011720588966672714,0.23124602893163282,0.42346938775510207,40,391,CPYTHON,aic
-0.007347981274619902,0.47903079043037017,0.26119402985074625,20,267,SCIPY,1
-0.00848529243174517,0.3351420180827651,0.2537313432835821,13,267,SCIPY,2
-0.004994001827941676,0.20781272671845571,0.4552238805970149,14,267,SCIPY,3
-0.0053513741883263475,0.2634958404169806,0.31343283582089554,11,267,SCIPY,4
-0.00260738812631318,0.2622966816041726,0.34328358208955223,13,267,SCIPY,6
-0.006274774563793162,0.38021167354488994,0.20149253731343283,20,267,SCIPY,aic
0.02165161439750087,0.2369660706102454,0.2786885245901639,9,121,REACT,1
0.022108946864401652,0.22343087747426732,0.5081967213114754,13,121,REACT,2
0.021901513800218778,0.27008848000013297,0.3442622950819672,7,121,REACT,3
0.02230249896393432,0.29861637806984104,0.39344262295081966,8,121,REACT,4
0.011900739750866581,0.19843837394207206,0.39344262295081966,12,121,REACT,6
0.018302942621518298,0.26377383985988107,0.19672131147540983,12,121,REACT,aic
-0.035219432966058645,0.3268535463957752,0.21428571428571427,4,55,VUE,1
-0.013564749015750093,0.12309937249573911,0.17857142857142858,1,55,VUE,2
-0.010663812140789522,0.1485318988733311,0.14285714285714285,1,55,VUE,3
0.008262786076665604,0.1162810021224057,0.6785714285714286,4,55,VUE,4
8.028017833518632e-05,0.04792571173775921,0.7857142857142857,9,55,VUE,6
-0.016392138042297066,0.3513712000736345,0.2857142857142857,5,55,VUE,aic
0.0034260690530264677,0.36182663778374935,0.18018018018018017,10,221,RAILS,1
0.000726404763191282,0.45445531883143453,0.23423423423423423,12,221,RAILS,2
0.005980980106992914,0.3737192625470876,0.3063063063063063,13,221,RAILS,3
0.0013500761607451645,0.2876766904066304,0.34234234234234234,14,221,RAILS,4
0.0016566091717105111,0.2376969767740129,0.43243243243243246,14,221,RAILS,6
0.007260180582936534,0.5291439755218862,0.13513513513513514,11,221,RAILS,aic
-0.020552650918332166,0.45237848276353376,0.33962264150943394,15,105,ANGULAR,1
-0.03004710785489159,0.3429739691274201,0.3018867924528302,9,105,ANGULAR,2
-0.024982566099366183,0.3024652062974101,0.33962264150943394,9,105,ANGULAR,3
-0.012651308065263704,0.14022914744841147,0.1509433962264151,3,105,ANGULAR,4
-0.01248383905043473,0.08142229665785776,0.3018867924528302,5,105,ANGULAR,6
-0.016756345894507172,0.3603671189459828,0.3018867924528302,13,105,ANGULAR,aic
-0.0036222055465789105,0.4703402933119394,0.15819209039548024,18,353,OCTAVE,1
-0.0028573197326914367,0.4210922589384289,0.192090395480226,17,353,OCTAVE,2
0.0018704833527968118,0.1942047216576357,0.4293785310734463,31,353,OCTAVE,3
0.002660848623509969,0.2204661163885808,0.4124293785310734,26,353,OCTAVE,4
0.00044256841737587535,0.16158124259357295,0.5084745762711864,26,353,OCTAVE,6
-0.0006811466083823383,0.38281188841850333,0.23728813559322035,38,353,OCTAVE,aic
-0.0017431793530377996,0.44029743684702066,0.16822429906542055,9,213,DJANGO,1
0.0038791455761467294,0.2791298855510959,0.3644859813084112,17,213,DJANGO,2
0.0005572584573042945,0.19491249832749513,0.3925233644859813,12,213,DJANGO,3
-0.0011999869828347026,0.12534514903182697,0.45794392523364486,20,213,DJANGO,4
9.138011053110255e-05,0.16132085831764897,0.5514018691588785,19,213,DJANGO,6
0.003400232094363637,0.22564805675573749,0.4766355140186916,21,213,DJANGO,aic
0.048752895953188054,0.6227906870723946,0.043478260869565216,3,92,VSCODE,1
0.043514552402037346,0.46643459066818493,0.0,1,92,VSCODE,2
0.034839617513648856,0.2524141097186975,0.30434782608695654,1,92,VSCODE,3
0.038561418063888325,0.30932514158783975,0.17391304347826086,1,92,VSCODE,4
0.03410605825860961,0.25781383354726833,0.15217391304347827,3,92,VSCODE,6
0.037117400728772273,0.4293839701102282,0.21739130434782608,3,92,VSCODE,aic
-0.007776025081404588,0.4011520319351336,0.2037037037037037,13,216,GIT_SCM,1
-0.009648038017346719,0.2055997125372583,0.4074074074074074,18,216,GIT_SCM,2
-0.004238470784948738,0.15631729030285535,0.5185185185185185,13,216,GIT_SCM,3
-0.004937407847821918,0.15300359535287014,0.4722222222222222,19,216,GIT_SCM,4
0.0006163681947193706,0.11163427106311039,0.48148148148148145,13,216,GIT_SCM,6
-0.008192821356455701,0.29078040204774225,0.32407407407407407,23,216,GIT_SCM,aic
-0.0015321002720829258,0.6507005362923504,0.05303030303030303,14,263,FFMPEG,1
0.006786048749930763,0.26842428299912213,0.25757575757575757,17,263,FFMPEG,2
0.006401419814597675,0.2451920998091832,0.21212121212121213,9,263,FFMPEG,3
0.006341981522057344,0.18314976081555942,0.2727272727272727,11,263,FFMPEG,4
0.003314490838338067,0.14865726845041918,0.4696969696969697,22,263,FFMPEG,6
0.0030623057423057247,0.30719110181917625,0.21212121212121213,11,263,FFMPEG,aic
0.00695512130144287,0.2508552397750426,0.2073170731707317,15,164,BITCOIN,1
3.4871140163415446e-05,0.2031015254725793,0.21951219512195122,10,164,BITCOIN,2
-0.005692471334367513,0.22788624900163854,0.32926829268292684,12,164,BITCOIN,3
-0.012036020014869116,0.24763372443586684,0.2804878048780488,13,164,BITCOIN,4
0.0003418230909182981,0.1462061266779162,0.524390243902439,14,164,BITCOIN,6
-5.184473677636754e-05,0.2006466617597198,0.2804878048780488,14,164,BITCOIN,aic
-0.0016904780376117323,0.4914997850352385,0.24324324324324326,14,296,WIRESHARK,1
-0.003731985734007204,0.40747834767548863,0.2635135135135135,11,296,WIRESHARK,2
-0.00010607182193482509,0.2680267221015324,0.35135135135135137,13,296,WIRESHARK,3
-0.0019380840167412719,0.285742542176857,0.30405405405405406,18,296,WIRESHARK,4
-0.0022435465252408277,0.30295197224519743,0.3310810810810811,20,296,WIRESHARK,6
-0.0012004520040067295,0.3899799810686837,0.27702702702702703,29,296,WIRESHARK,aic
0.0062866881685809586,0.4037047852388073,0.09004739336492891,15,421,EMACS,1
0.004583216095116766,0.34820893146914284,0.24170616113744076,22,421,EMACS,2
0.004928124860571447,0.45369989373430797,0.26540284360189575,19,421,EMACS,3
0.005207128088926186,0.3419154476813168,0.33175355450236965,23,421,EMACS,4
0.005422704927598994,0.2757662773080134,0.4218009478672986,25,421,EMACS,6
0.004988631941696359,0.40367216679067824,0.21800947867298578,21,421,EMACS,aic
-0.0008708892596498778,0.16529088014716894,0.2765957446808511,16,281,CURL,1
-0.0033699532967225235,0.14716757226482452,0.524822695035461,32,281,CURL,2
-0.003503679345855592,0.17425830875374312,0.46808510638297873,24,281,CURL,3
-0.006453305771441713,0.22943155071842264,0.3546099290780142,15,281,CURL,4
0.0012206934687080274,0.10428485784701458,0.5673758865248227,26,281,CURL,6
-0.001672133182649644,0.21515667615309236,0.3191489361702128,33,281,CURL,aic
-0.005835645604296257,0.4597026113692842,0.16233766233766234,14,307,GIMP,1
-0.005536747998281081,0.2936342184291933,0.24675324675324675,9,307,GIMP,2
-0.004141497781481976,0.2287982314799593,0.474025974025974,14,307,GIMP,3
-0.00290104106719638,0.11807065954832648,0.45454545454545453,21,307,GIMP,4
-0.0028618107941260538,0.17026291891065354,0.33116883116883117,19,307,GIMP,6
-0.002889853741426866,0.2839665262157781,0.15584415584415584,21,307,GIMP,aic
-0.0002487394844322815,0.5728203133651885,0.1,10,239,WORDPRESS,1
-0.006527549800784612,0.3666147431156773,0.3,9,239,WORDPRESS,2
-0.005244896460065023,0.2887126718343047,0.25833333333333336,11,239,WORDPRESS,3
-0.004416883592571543,0.21093858975527963,0.35,13,239,WORDPRESS,4
-0.006235773825255011,0.17044197925044635,0.375,17,239,WORDPRESS,6
-0.002369071423637266,0.32851510829776237,0.225,18,239,WORDPRESS,aic
0.004382320261815925,0.44052314321893343,0.23140495867768596,17,241,MEDIAWIKI,1
0.003926984791394268,0.2580409955314159,0.4380165289256198,16,241,MEDIAWIKI,2
0.002148147240445044,0.21118836862157112,0.33884297520661155,18,241,MEDIAWIKI,3
0.0046774018806396995,0.24762616486693678,0.36363636363636365,16,241,MEDIAWIKI,4
0.00587218448416567,0.19868189413868015,0.4793388429752066,16,241,MEDIAWIKI,6
0.006168965408965531,0.3600284179191259,0.3305785123966942,14,241,MEDIAWIKI,aic
0.004042550124249289,0.301958307004824,0.3277310924369748,20,237,MATPLOTLIB,1
-0.008681817660526383,0.26629156763333534,0.2184873949579832,13,237,MATPLOTLIB,2
-0.013099950528216131,0.34645140535316093,0.18487394957983194,9,237,MATPLOTLIB,3
-0.013716285307906875,0.3935983674165526,0.17647058823529413,10,237,MATPLOTLIB,4
-0.010893806942895514,0.3230966882620181,0.2184873949579832,12,237,MATPLOTLIB,6
-0.010548153634001774,0.3999838127901037,0.21008403361344538,24,237,MATPLOTLIB,aic
-0.07206493436792055,0.45893676088288543,0.20833333333333334,5,48,FASTAPI,1
-0.06260201668235306,0.23608969396505763,0.25,1,48,FASTAPI,2
-0.05000211022662769,0.18230863970079625,0.08333333333333333,1,48,FASTAPI,3
-0.05207775123630446,0.16729821587983407,0.2916666666666667,1,48,FASTAPI,4
-0.0684272460716043,0.2457959522376855,0.2916666666666667,1,48,FASTAPI,6
-0.08362025778154579,0.4835699536423752,0.20833333333333334,3,48,FASTAPI,aic
-0.004653133553781402,0.4369287117463573,0.22627737226277372,16,274,SUBVERSION,1
0.002196959053529304,0.19078347776533053,0.40145985401459855,18,274,SUBVERSION,2
0.0013407325000710938,0.12988576828266857,0.34306569343065696,22,274,SUBVERSION,3
0.002028494281472211,0.11560091623850406,0.40875912408759124,20,274,SUBVERSION,4
0.004463922987395008,0.12056558481795777,0.35036496350364965,8,274,SUBVERSION,6
-0.0018716869865034267,0.2956557795089945,0.34306569343065696,26,274,SUBVERSION,aic
0.03300757043792301,0.6396691018348455,0.028985507246376812,4,137,ANSIBLE,1
0.0318699783383364,0.5615362319723582,0.07246376811594203,4,137,ANSIBLE,2
0.026316478484415352,0.3716093749615272,0.11594202898550725,2,137,ANSIBLE,3
0.024460723411481308,0.3211038899003354,0.21739130434782608,5,137,ANSIBLE,4
0.02205747793649967,0.2812335345499594,0.15942028985507245,5,137,ANSIBLE,6
0.028627614805560475,0.467732274257442,0.15942028985507245,12,137,ANSIBLE,aic
0.007934859985857318,0.3645113926164565,0.25316455696202533,7,158,OPENCV,1
0.014453872060274004,0.232447264030171,0.26582278481012656,5,158,OPENCV,2
-0.0077842114751318576,0.29216993010328074,0.21518987341772153,6,158,OPENCV,3
0.00020479835167000346,0.18661809667225088,0.189873417721519,7,158,OPENCV,4
-0.001738550962180097,0.1801464354829567,0.34177215189873417,9,158,OPENCV,6
-0.002695114065138253,0.27629515049569126,0.26582278481012656,14,158,OPENCV,aic
-0.012324356405163188,0.41610314655167385,0.20238095238095238,17,167,PANDAS,1
-0.008140473737504655,0.25634579027342025,0.27380952380952384,15,167,PANDAS,2
-0.00835090887769106,0.2399124810231147,0.36904761904761907,11,167,PANDAS,3
-0.0027494405929527946,0.18143122161608372,0.23809523809523808,9,167,PANDAS,4
0.0022526242097021523,0.10993506867311394,0.6547619047619048,20,167,PANDAS,6
-0.004051545643588059,0.3203666075040094,0.23809523809523808,15,167,PANDAS,aic
0.019844348929175634,0.5021326127385064,0.12345679012345678,11,162,SCIKIT_LEARN,1
0.02284158448020554,0.4797989192391356,0.07407407407407407,3,162,SCIKIT_LEARN,2
0.01854832640419343,0.43641917655055545,0.20987654320987653,9,162,SCIKIT_LEARN,3
0.010061600728761276,0.16669949671729314,0.38271604938271603,13,162,SCIKIT_LEARN,4
0.002428393193047685,0.12906242329914247,0.4567901234567901,9,162,SCIKIT_LEARN,6
0.003865285535894082,0.2543834097521661,0.2345679012345679,15,162,SCIKIT_LEARN,aic
0.027166448277232073,0.46571390670030216,0.14814814814814814,3,108,KUBERNETES,1
0.021235340002504936,0.28221678884541085,0.2777777777777778,4,108,KUBERNETES,2
0.023506882725337734,0.24398406486251623,0.18518518518518517,5,108,KUBERNETES,3
0.026995685539902933,0.30317648815452247,0.16666666666666666,3,108,KUBERNETES,4
0.013138101498108394,0.10378465899817478,0.2962962962962963,3,108,KUBERNETES,6
0.022745498350436693,0.27706940363700666,0.24074074074074073,4,108,KUBERNETES,aic
-0.0033047142390095633,0.26378071412341053,0.4788732394366197,24,142,FLASK,1
-0.0006032188548641487,0.17396521859561062,0.5352112676056338,18,142,FLASK,2
-0.005836091158758225,0.15633423145384526,0.5211267605633803,12,142,FLASK,3
-0.0097453441523443,0.14241016572973902,0.5774647887323944,12,142,FLASK,4
0.003085370704412728,0.10636811341868037,0.6901408450704225,18,142,FLASK,6
