confinement,variance,slope,zc,mean_excursion,mean_strength,signal_rate,confinement_signal,n_windows,project,type,rep
0.6527777777777778,0.07562230362828082,0.00230236437564518,7,6.25,0.9593591312380748,1.0,0.6527777777777778,162,SCIKIT_LEARN,GammaCircular(-3m),
0.7777777777777778,0.05773901972578827,-0.000680438673667333,20,3.2,0.8118986369560646,0.9305555555555556,0.7611940298507462,162,SCIKIT_LEARN,GammaCircular(3m),
0.7222222222222222,0.08519114746121752,-0.0037749465269633566,15,4.0,0.8253850836139058,0.9444444444444444,0.7058823529411765,162,SCIKIT_LEARN,GammaCircular(6m),
0.7222222222222222,0.056710926171272456,-0.0006772801566839758,8,2.857142857142857,0.7519002434960703,0.9305555555555556,0.7014925373134329,162,SCIKIT_LEARN,GammaCircular(12m),
0.7083333333333334,0.08991804137718908,-0.0036525968798592203,10,4.2,0.8380816284513654,0.9027777777777778,0.676923076923077,162,SCIKIT_LEARN,GammaCircularRand,0.0
0.7638888888888888,0.06641560172447358,0.004732369012280922,8,2.8333333333333335,0.9434865505561351,1.0,0.7638888888888888,162,SCIKIT_LEARN,GammaCircularRand,1.0
0.7638888888888888,0.07413270001409272,0.007779745759472214,6,5.666666666666667,0.8980300137446106,1.0,0.7638888888888888,162,SCIKIT_LEARN,GammaCircularRand,2.0
0.7777777777777778,0.05406539863781924,0.0015314743889312977,12,1.6,0.7037204608056116,0.8472222222222222,0.7377049180327869,162,SCIKIT_LEARN,GammaCircularRand,3.0
0.75,0.05900912681824623,0.0019064734925699233,10,2.25,0.8082855573777407,0.9166666666666666,0.7424242424242424,162,SCIKIT_LEARN,GammaCircularRand,4.0
0.6388888888888888,0.06907241010569042,-0.0010457256505078262,4,5.2,0.8667361509983422,0.9305555555555556,0.6119402985074627,162,SCIKIT_LEARN,GammaBlockPerm(6m),
0.7638888888888888,0.0764656766692087,0.00020805570301365016,8,2.8333333333333335,0.807242287631228,0.9027777777777778,0.7384615384615385,162,SCIKIT_LEARN,GammaBlockPerm(12m),
0.9090909090909091,0.026608476029153248,0.0007218021916093047,13,1.6666666666666667,0.8020777416315226,0.8,0.8863636363636364,108,KUBERNETES,Observed,
