project,metric,observed_value,simulated_median,simulated_q025,simulated_q975,percentile,pvalue,direction
NODE,confinement_ratio,0.76,0.6,0.42,0.76,0.98,0.040000000000000036,higher
SCIPY,zero_crossing_freq,0.11363636363636363,0.15151515151515152,0.07556818181818183,0.24242424242424243,0.196,0.392,lower
SCIPY,variance,0.08684299151343763,0.1060266134818566,0.05723411752009964,0.20574204435080193,0.281,0.562,lower
SCIPY,confinement_ratio,0.7368421052631579,0.6015037593984962,0.39097744360902253,0.7669172932330827,0.951,0.09800000000000009,higher
REACT,zero_crossing_freq,0.07692307692307693,0.19230769230769232,0.038461538461538464,0.4230769230769231,0.149,0.298,lower
REACT,variance,0.052820135567356714,0.018349564528376446,0.007717484637738453,0.04716866497516238,0.985,0.030000000000000027,higher
REACT,confinement_ratio,0.5555555555555556,0.9259259259259259,0.6666666666666666,1.0,0.006,0.012,lower
ANGULAR,zero_crossing_freq,0.14035087719298245,0.19298245614035087,0.07017543859649122,0.3157894736842105,0.303,0.606,lower
ANGULAR,variance,0.06096071170611248,0.05922867706064365,0.027885591673036742,0.1258644863469806,0.526,0.948,higher
ANGULAR,confinement_ratio,0.7413793103448276,0.7241379310344828,0.4827586206896552,0.9137931034482759,0.586,0.8280000000000001,higher
RAILS,zero_crossing_freq,0.12048192771084337,0.13855421686746988,0.060240963855421686,0.2289156626506024,0.381,0.762,lower
RAILS,variance,0.08920760953559237,0.07025103826811016,0.047406927477100194,0.11063530528710716,0.854,0.29200000000000004,higher
RAILS,confinement_ratio,0.7245508982035929,0.5269461077844312,0.3712574850299401,0.6946107784431138,0.993,0.014000000000000012,higher
OCTAVE,zero_crossing_freq,0.15625,0.15625,0.09375,0.21875,0.53,0.94,lower
OCTAVE,variance,0.09545943826999269,0.09212950381370176,0.06403379192438481,0.13196165559448417,0.58,0.8400000000000001,higher
OCTAVE,confinement_ratio,0.6731517509727627,0.5758754863813229,0.4357976653696498,0.6964980544747081,0.934,0.1319999999999999,higher
VSCODE,zero_crossing_freq,0.08823529411764706,0.17647058823529413,0.058823529411764705,0.3088235294117647,0.097,0.194,lower
VSCODE,variance,0.059347424220743725,0.07892360730973205,0.040632093765466164,0.1582670728582671,0.217,0.434,lower
VSCODE,confinement_ratio,0.7391304347826086,0.6231884057971014,0.37681159420289856,0.8260869565217391,0.874,0.252,higher
GIT_SCM,zero_crossing_freq,0.15862068965517243,0.16551724137931034,0.08275862068965517,0.2484482758620688,0.495,0.99,lower
GIT_SCM,variance,0.051928288819854056,0.09096682931468,0.04909547176306705,0.1592982497817478,0.038,0.076,lower
GIT_SCM,confinement_ratio,0.8424657534246576,0.6438356164383562,0.4726027397260274,0.815068493150685,0.991,0.018000000000000016,higher
FFMPEG,zero_crossing_freq,0.14953271028037382,0.2897196261682243,0.21962616822429906,0.35514018691588783,0.0,0.0,lower
FFMPEG,variance,0.10106629122414869,0.05721950768115605,0.04351207844734482,0.07446420070885987,1.0,0.0,higher
FFMPEG,confinement_ratio,0.6372093023255814,0.7813953488372093,0.7116279069767442,0.8511627906976744,0.0,0.0,lower
BITCOIN,zero_crossing_freq,0.16666666666666666,0.24509803921568626,0.1568627450980392,0.35294117647058826,0.054,0.108,lower
BITCOIN,variance,0.05330744396505967,0.031024423877510858,0.020258939301534492,0.04968983725707164,0.991,0.018000000000000016,higher
BITCOIN,confinement_ratio,0.8058252427184466,0.9029126213592233,0.795873786407767,0.970873786407767,0.043,0.086,lower
CURL,zero_crossing_freq,0.13690476190476192,0.13095238095238096,0.05952380952380952,0.21428571428571427,0.579,0.8420000000000001,higher
CURL,variance,0.05928951404524043,0.11303682647319235,0.0622859719078524,0.21577441959360316,0.019,0.038,lower
CURL,confinement_ratio,0.7455621301775148,0.5384615384615384,0.3371301775147929,0.727810650887574,0.987,0.026000000000000023,higher
WIRESHARK,zero_crossing_freq,0.1625441696113074,0.08480565371024736,0.04240282685512368,0.127208480565371,1.0,0.0,higher
WIRESHARK,variance,0.07324927998780538,0.026571154431428642,0.02133835885373217,0.03233372232565179,1.0,0.0,higher
WIRESHARK,confinement_ratio,0.7112676056338029,0.5950704225352113,0.5070422535211268,0.6690140845070423,0.998,0.0040000000000000036,higher
GIMP,zero_crossing_freq,0.17435897435897435,0.2153846153846154,0.14858974358974358,0.2924358974358973,0.146,0.292,lower
GIMP,variance,0.0610031882769808,0.07553679145279507,0.049720470728908846,0.10876976220756583,0.122,0.244,lower
GIMP,confinement_ratio,0.75,0.6836734693877551,0.5714285714285714,0.7959183673469388,0.895,0.20999999999999996,higher
WORDPRESS,zero_crossing_freq,0.12093023255813953,0.15813953488372093,0.08825581395348837,0.23255813953488372,0.182,0.364,lower
WORDPRESS,variance,0.07752010430733601,0.02991806618094303,0.021023491858978945,0.04278398394317914,1.0,0.0,higher
WORDPRESS,confinement_ratio,0.7129629629629629,0.8148148148148148,0.6944444444444444,0.9166666666666666,0.062,0.124,lower
MEDIAWIKI,zero_crossing_freq,0.15207373271889402,0.18433179723502305,0.1152073732718894,0.2627880184331796,0.193,0.386,lower
MEDIAWIKI,variance,0.07864479245549022,0.051926967392961584,0.040276754393606624,0.06687740512136033,0.998,0.0040000000000000036,higher
MEDIAWIKI,confinement_ratio,0.7477064220183486,0.6146788990825688,0.5091743119266054,0.7110091743119266,0.998,0.0040000000000000036,higher
SUBVERSION,zero_crossing_freq,0.10236220472440945,0.13385826771653545,0.07480314960629922,0.2047244094488189,0.17,0.34,lower
SUBVERSION,variance,0.05915150000733907,0.04741690481525554,0.03113196157969636,0.06801104753157391,0.87,0.26,higher
SUBVERSION,confinement_ratio,0.7764705882352941,0.6941176470588235,0.5490196078431373,0.8235294117647058,0.913,0.17399999999999993,higher
MATPLOTLIB,zero_crossing_freq,0.11538461538461539,0.16923076923076924,0.09211538461538463,0.2540384615384613,0.153,0.306,lower
MATPLOTLIB,variance,0.07501948401920665,0.04608516210244895,0.02824754381524926,0.07973492097288393,0.963,0.07400000000000007,higher
