,gamma,symmetry_smooth
141,0.03368829085307181,0.658618819230811
142,0.03382080160834512,0.6586514852696265
143,0.03394594097009829,0.6586823301530149
144,0.0342322397342706,0.6587528837421626
145,0.03491902854207418,0.6589220491302306
146,0.035260031180252574,0.6590059996574479
147,0.03552495316781136,0.6590712004449666
148,0.035586666509254884,0.6590863864474469
149,0.03573199433393926,0.6591221440658295
150,0.035773227628745824,0.6591322884968781
151,0.03579818153402304,0.6591384275860177
152,0.035965091539832655,0.6591794864132557
153,0.03597269723848322,0.6591813572064512
154,0.03605699587028409,0.6592020914147413
155,0.03620447686884418,0.6592383618912127
156,0.03673453431982767,0.6593686770852167
157,0.037032922182181335,0.6594420061895411
158,0.037035257666888734,0.6594425800525245
159,0.03706500210391164,0.6594498885838939
160,0.037434291931268314,0.6595406093926381
